Review,Liked,Kitchen
Wow... Loved this place.,1,ANU'S KITCHEN
Crust is not good.,0,ANU'S KITCHEN
Not tasty and the texture was just nasty.,0,ANU'S KITCHEN
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,ANU'S KITCHEN
The selection on the menu was great and so were the prices.,1,ANU'S KITCHEN
Now I am getting angry and I want my damn pho.,0,ANU'S KITCHEN
Honeslty it didn't taste THAT fresh.),0,ANU'S KITCHEN
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,ANU'S KITCHEN
The fries were great too.,1,ANU'S KITCHEN
A great touch.,1,ANU'S KITCHEN
Service was very prompt.,1,ANU'S KITCHEN
Would not go back.,0,ANU'S KITCHEN
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,ANU'S KITCHEN
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,ANU'S KITCHEN
I was disgusted because I was pretty sure that was human hair.,0,ANU'S KITCHEN
I was shocked because no signs indicate cash only.,0,ANU'S KITCHEN
Highly recommended.,1,ANU'S KITCHEN
Waitress was a little slow in service.,0,ANU'S KITCHEN
"This place is not worth your time, let alone Vegas.",0,ANU'S KITCHEN
did not like at all.,0,ANU'S KITCHEN
The Burrittos Blah!,0,ANU'S KITCHEN
"The food, amazing.",1,ANU'S KITCHEN
Service is also cute.,1,ANU'S KITCHEN
I could care less... The interior is just beautiful.,1,ANU'S KITCHEN
So they performed.,1,ANU'S KITCHEN
That's right....the red velvet cake.....ohhh this stuff is so good.,1,ANU'S KITCHEN
#NAME?,0,ANU'S KITCHEN
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,ANU'S KITCHEN
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,ANU'S KITCHEN
The worst was the salmon sashimi.,0,ANU'S KITCHEN
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,ANU'S KITCHEN
This was like the final blow!,0,ANU'S KITCHEN
I found this place by accident and I could not be happier.,1,ANU'S KITCHEN
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,ANU'S KITCHEN
"Overall, I like this place a lot.",1,ANU'S KITCHEN
The only redeeming quality of the restaurant was that it was very inexpensive.,1,ANU'S KITCHEN
Ample portions and good prices.,1,ANU'S KITCHEN
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,ANU'S KITCHEN
My first visit to Hiro was a delight!,1,ANU'S KITCHEN
Service sucks.,0,ANU'S KITCHEN
The shrimp tender and moist.,1,ANU'S KITCHEN
There is not a deal good enough that would drag me into that establishment again.,0,ANU'S KITCHEN
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,ANU'S KITCHEN
"On a positive note, our server was very attentive and provided great service.",1,ANU'S KITCHEN
"Frozen pucks of disgust, with some of the worst people behind the register.",0,ANU'S KITCHEN
The only thing I did like was the prime rib and dessert section.,1,ANU'S KITCHEN
It's too bad the food is so damn generic.,0,ANU'S KITCHEN
"The burger is good beef, cooked just right.",1,ANU'S KITCHEN
If you want a sandwich just go to any Firehouse!!!!!,1,ANU'S KITCHEN
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,ANU'S KITCHEN
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,ANU'S KITCHEN
He came running after us when he realized my husband had left his sunglasses on the table.,1,ANU'S KITCHEN
Their chow mein is so good!,1,ANU'S KITCHEN
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,ANU'S KITCHEN
The portion was huge!,1,ANU'S KITCHEN
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,ANU'S KITCHEN
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,ANU'S KITCHEN
Not much seafood and like 5 strings of pasta at the bottom.,0,ANU'S KITCHEN
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,ANU'S KITCHEN
"The ripped banana was not only ripped, but petrified and tasteless.",0,ANU'S KITCHEN
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,ANU'S KITCHEN
This place receives stars for their APPETIZERS!!!,1,ANU'S KITCHEN
The cocktails are all handmade and delicious.,1,ANU'S KITCHEN
We'd definitely go back here again.,1,ANU'S KITCHEN
We are so glad we found this place.,1,ANU'S KITCHEN
"Great food and service, huge portions and they give a military discount.",1,ANU'S KITCHEN
Always a great time at Dos Gringos!,1,ANU'S KITCHEN
Update.....went back for a second time and it was still just as amazing,1,ANU'S KITCHEN
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,ANU'S KITCHEN
A great way to finish a great.,1,ANU'S KITCHEN
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,ANU'S KITCHEN
#NAME?,1,ANU'S KITCHEN
The service was meh.,0,ANU'S KITCHEN
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,ANU'S KITCHEN
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,ANU'S KITCHEN
The scallop dish is quite appalling for value as well.,0,ANU'S KITCHEN
2 times - Very Bad Customer Service !,0,ANU'S KITCHEN
The sweet potato fries were very good and seasoned well.,1,ANU'S KITCHEN
Today is the second time I've been to their lunch buffet and it was pretty good.,1,ANU'S KITCHEN
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,ANU'S KITCHEN
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,ANU'S KITCHEN
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,ANU'S KITCHEN
The turkey and roast beef were bland.,0,ANU'S KITCHEN
This place has it!,1,ANU'S KITCHEN
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,ANU'S KITCHEN
I love the Pho and the spring rolls oh so yummy you have to try.,1,ANU'S KITCHEN
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,ANU'S KITCHEN
All I have to say is the food was amazing!!!,1,ANU'S KITCHEN
Omelets are to die for!,1,ANU'S KITCHEN
Everything was fresh and delicious!,1,ANU'S KITCHEN
"In summary, this was a largely disappointing dining experience.",0,ANU'S KITCHEN
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,ANU'S KITCHEN
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,ANU'S KITCHEN
Best breakfast buffet!!!,1,ANU'S KITCHEN
say bye bye to your tip lady!,0,ANU'S KITCHEN
We'll never go again.,0,ANU'S KITCHEN
Will be back again!,1,ANU'S KITCHEN
Food arrived quickly!,1,ANU'S KITCHEN
It was not good.,0,ANU'S KITCHEN
"On the up side, their cafe serves really good food.",1,KISHORE KITCHEN
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,KISHORE KITCHEN
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,KISHORE KITCHEN
"Best Buffet in town, for the price you cannot beat it.",1,KISHORE KITCHEN
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,KISHORE KITCHEN
This is one of the better buffets that I have been to.,1,KISHORE KITCHEN
So we went to Tigerlilly and had a fantastic afternoon!,1,KISHORE KITCHEN
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,KISHORE KITCHEN
The ambience is wonderful and there is music playing.,1,KISHORE KITCHEN
Will go back next trip out.,1,KISHORE KITCHEN
Sooooo good!!,1,KISHORE KITCHEN
"REAL sushi lovers, let's be honest - Yama is not that good.",0,KISHORE KITCHEN
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,KISHORE KITCHEN
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,KISHORE KITCHEN
"Nice, spicy and tender.",1,KISHORE KITCHEN
Good prices.,1,KISHORE KITCHEN
Check it out.,1,KISHORE KITCHEN
It was pretty gross!,0,KISHORE KITCHEN
I've had better atmosphere.,0,KISHORE KITCHEN
Kind of hard to mess up a steak but they did.,0,KISHORE KITCHEN
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,KISHORE KITCHEN
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,KISHORE KITCHEN
"Worst service to boot, but that is the least of their worries.",0,KISHORE KITCHEN
Service was fine and the waitress was friendly.,1,KISHORE KITCHEN
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,KISHORE KITCHEN
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,KISHORE KITCHEN
"Host staff were, for lack of a better word, BITCHES!",0,KISHORE KITCHEN
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,RIYA KITCHEN
"Phenomenal food, service and ambiance.",1,RIYA KITCHEN
I wouldn't return.,0,RIYA KITCHEN
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,RIYA KITCHEN
This place is way too overpriced for mediocre food.,0,RIYA KITCHEN
Penne vodka excellent!,1,RIYA KITCHEN
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,RIYA KITCHEN
The management is rude.,0,RIYA KITCHEN
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,RIYA KITCHEN
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,RIYA KITCHEN
I had a seriously solid breakfast here.,1,RIYA KITCHEN
This is one of the best bars with food in Vegas.,1,RIYA KITCHEN
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,RIYA KITCHEN
My drink was never empty and he made some really great menu suggestions.,1,RIYA KITCHEN
Don't do it!!!!,0,RIYA KITCHEN
The waiter wasn't helpful or friendly and rarely checked on us.,0,RIYA KITCHEN
My husband and I ate lunch here and were very disappointed with the food and service.,0,RIYA KITCHEN
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,RIYA KITCHEN
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,RIYA KITCHEN
The bathrooms are clean and the place itself is well decorated.,1,RIYA KITCHEN
"The menu is always changing, food quality is going down & service is extremely slow.",0,RIYA KITCHEN
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,RIYA KITCHEN
I give it 2 thumbs down,0,RIYA KITCHEN
We watched our waiter pay a lot more attention to other tables and ignore us.,0,RIYA KITCHEN
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,RIYA KITCHEN
This is a great restaurant at the Mandalay Bay.,1,RIYA KITCHEN
We waited for forty five minutes in vain.,0,RIYA KITCHEN
Crostini that came with the salad was stale.,0,RIYA KITCHEN
Some highlights : Great quality nigiri here!,1,RIYA KITCHEN
the staff is friendly and the joint is always clean.,1,RIYA KITCHEN
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,RIYA KITCHEN
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,RIYA KITCHEN
this place is good.,1,RIYA KITCHEN
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,RIYA KITCHEN
I came back today since they relocated and still not impressed.,0,RIYA KITCHEN
I was seated immediately.,1,RIYA KITCHEN
"Their menu is diverse, and reasonably priced.",1,RIYA KITCHEN
Avoid at all cost!,0,RIYA KITCHEN
Restaurant is always full but never a wait.,1,RIYA KITCHEN
DELICIOUS!!,1,RIYA KITCHEN
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,RIYA KITCHEN
So don't go there if you are looking for good food...,0,RIYA KITCHEN
I've never been treated so bad.,0,RIYA KITCHEN
Bacon is hella salty.,1,RIYA KITCHEN
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,RIYA KITCHEN
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,RIYA KITCHEN
The waitresses are very friendly.,1,RIYA KITCHEN
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,RIYA KITCHEN
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,RIYA KITCHEN
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,RIYA KITCHEN
The service here leaves a lot to be desired.,0,RIYA KITCHEN
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,RIYA KITCHEN
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,RIYA KITCHEN
We literally sat there for 20 minutes with no one asking to take our order.,0,RIYA KITCHEN
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,RIYA KITCHEN
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,RIYA KITCHEN
I dressed up to be treated so rudely!,0,RIYA KITCHEN
It was probably dirt.,0,RIYA KITCHEN
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,RIYA KITCHEN
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,RIYA KITCHEN
"The food sucked, which we expected but it sucked more than we could have imagined.",0,RIYA KITCHEN
Interesting decor.,1,RIYA KITCHEN
What I really like there is the crepe station.,1,RIYA KITCHEN
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,RIYA KITCHEN
you can watch them preparing the delicious food!),1,RIYA KITCHEN
Both of the egg rolls were fantastic.,1,RIYA KITCHEN
"When my order arrived, one of the gyros was missing.",0,RIYA KITCHEN
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,RIYA KITCHEN
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,RIYA KITCHEN
The best place to go for a tasty bowl of Pho!,1,RIYA KITCHEN
The live music on Fridays totally blows.,0,RIYA KITCHEN
I've never been more insulted or felt disrespected.,0,RIYA KITCHEN
Very friendly staff.,1,RIYA KITCHEN
It is worth the drive.,1,RIYA KITCHEN
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,RIYA KITCHEN
Food was great and so was the serivce!,1,RIYA KITCHEN
The warm beer didn't help.,0,RIYA KITCHEN
Great brunch spot.,1,RIYA KITCHEN
Service is friendly and inviting.,1,RIYA KITCHEN
Very good lunch spot.,1,RIYA KITCHEN
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,RIYA KITCHEN
The WORST EXPERIENCE EVER.,0,RIYA KITCHEN
Must have been an off night at this place.,0,RIYA KITCHEN
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,RIYA KITCHEN
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,RIYA KITCHEN
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,RIYA KITCHEN
My friend loved the salmon tartar.,1,RIYA KITCHEN
Won't go back.,0,RIYA KITCHEN
Extremely Tasty!,1,RENU KITCHEN
Waitress was good though!,1,RENU KITCHEN
Soggy and not good.,0,RENU KITCHEN
The Jamaican mojitos are delicious.,1,RENU KITCHEN
Which are small and not worth the price.,0,RENU KITCHEN
#NAME?,1,RENU KITCHEN
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,RENU KITCHEN
The service was a bit lacking.,0,RENU KITCHEN
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,RENU KITCHEN
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,RENU KITCHEN
"It was either too cold, not enough flavor or just bad.",0,RENU KITCHEN
I loved the bacon wrapped dates.,1,RENU KITCHEN
This is an unbelievable BARGAIN!,1,RENU KITCHEN
The folks at Otto always make us feel so welcome and special.,1,RENU KITCHEN
"As for the ""mains,"" also uninspired.",0,RENU KITCHEN
This is the place where I first had pho and it was amazing!!,1,RENU KITCHEN
This wonderful experience made this place a must-stop whenever we are in town again.,1,RENU KITCHEN
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,RENU KITCHEN
Very very fun chef.,1,RENU KITCHEN
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,RENU KITCHEN
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,RENU KITCHEN
"If it were possible to give them zero stars, they'd have it.",0,RENU KITCHEN
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,RENU KITCHEN
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,RENU KITCHEN
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,RENU KITCHEN
"Everyone is very attentive, providing excellent customer service.",1,RENU KITCHEN
Horrible - don't waste your time and money.,0,RENU KITCHEN
Now this dish was quite flavourful.,1,RENU KITCHEN
By this time our side of the restaurant was almost empty so there was no excuse.,0,RENU KITCHEN
"(It wasn't busy either) Also, the building was FREEZING cold.",0,RENU KITCHEN
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,RENU KITCHEN
-Drinks took close to 30 minutes to come out at one point.,0,RENU KITCHEN
"Seriously flavorful delights, folks.",1,RENU KITCHEN
Much better than the other AYCE sushi place I went to in Vegas.,1,RENU KITCHEN
The lighting is just dark enough to set the mood.,1,RENU KITCHEN
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,RENU KITCHEN
Owner's are really great people.!,1,RENU KITCHEN
There is nothing privileged about working/eating there.,0,RENU KITCHEN
The Greek dressing was very creamy and flavorful.,1,RENU KITCHEN
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,RENU KITCHEN
Now the pizza itself was good the peanut sauce was very tasty.,1,RENU KITCHEN
We had 7 at our table and the service was pretty fast.,1,RENU KITCHEN
Fantastic service here.,1,RENU KITCHEN
I as well would've given godfathers zero stars if possible.,0,RENU KITCHEN
They know how to make them here.,1,RENU KITCHEN
very tough and very short on flavor!,0,RENU KITCHEN
I hope this place sticks around.,1,RENU KITCHEN
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,RENU KITCHEN
The restaurant atmosphere was exquisite.,1,RENU KITCHEN
"Good service, very clean, and inexpensive, to boot!",1,RENU KITCHEN
The seafood was fresh and generous in portion.,1,RENU KITCHEN
"Plus, it's only 8 bucks.",1,RENU KITCHEN
"The service was not up to par, either.",0,RENU KITCHEN
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,RENU KITCHEN
Just as good as when I had it more than a year ago!,1,RENU KITCHEN
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,RENU KITCHEN
The Veggitarian platter is out of this world!,1,RENU KITCHEN
You cant go wrong with any of the food here.,1,RENU KITCHEN
You can't beat that.,1,RENU KITCHEN
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,RENU KITCHEN
The chefs were friendly and did a good job.,1,RENU KITCHEN
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,RENU KITCHEN
I liked the patio and the service was outstanding.,1,RENU KITCHEN
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,RENU KITCHEN
I think not again,0,RENU KITCHEN
I had the mac salad and it was pretty bland so I will not be getting that again.,0,RENU KITCHEN
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,RENU KITCHEN
Service stinks here!,0,RENU KITCHEN
I waited and waited.,0,RENU KITCHEN
"This place is not quality sushi, it is not a quality restaurant.",0,NISHA KITCHEN
I would definitely recommend the wings as well as the pizza.,1,NISHA KITCHEN
Great Pizza and Salads!,1,NISHA KITCHEN
Things that went wrong: - They burned the saganaki.,0,NISHA KITCHEN
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,NISHA KITCHEN
This place is amazing!,1,NISHA KITCHEN
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,NISHA KITCHEN
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,NISHA KITCHEN
Just don't know why they were so slow.,0,NISHA KITCHEN
"The staff is great, the food is delish, and they have an incredible beer selection.",1,NISHA KITCHEN
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,NISHA KITCHEN
I didn't know pulled pork could be soooo delicious.,1,NISHA KITCHEN
"You get incredibly fresh fish, prepared with care.",1,NISHA KITCHEN
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,NISHA KITCHEN
I love the fact that everything on their menu is worth it.,1,NISHA KITCHEN
Never again will I be dining at this place!,0,NISHA KITCHEN
The food was excellent and service was very good.,1,NISHA KITCHEN
Good beer & drink selection and good food selection.,1,NISHA KITCHEN
Please stay away from the shrimp stir fried noodles.,0,NISHA KITCHEN
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,NISHA KITCHEN
Food was really boring.,0,NISHA KITCHEN
Good Service-check!,1,NISHA KITCHEN
This greedy corporation will NEVER see another dime from me!,0,NISHA KITCHEN
"Will never, ever go back.",0,NISHA KITCHEN
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,NISHA KITCHEN
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,NISHA KITCHEN
I did not expect this to be so good!,1,NISHA KITCHEN
Fantastic food!,1,NISHA KITCHEN
She ordered a toasted English muffin that came out untoasted.,0,NISHA KITCHEN
The food was very good.,1,NISHA KITCHEN
Never going back.,0,NISHA KITCHEN
"Great food for the price, which is very high quality and house made.",1,NISHA KITCHEN
The bus boy on the other hand was so rude.,0,NISHA KITCHEN
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,NISHA KITCHEN
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,NISHA KITCHEN
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,NISHA KITCHEN
All the bread is made in-house!,1,NISHA KITCHEN
The only downside is the service.,0,NISHA KITCHEN
"Also, the fries are without a doubt the worst fries I've ever had.",0,NISHA KITCHEN
Service was exceptional and food was a good as all the reviews.,1,NISHA KITCHEN
"A couple of months later, I returned and had an amazing meal.",1,NISHA KITCHEN
Favorite place in town for shawarrrrrrma!!!!!!,1,NISHA KITCHEN
The black eyed peas and sweet potatoes... UNREAL!,1,NISHA KITCHEN
You won't be disappointed.,1,NISHA KITCHEN
