Review,Liked,Kitchen
It's a great place and I highly recommend it.,1,ARYA KITCHEN
Service was slow and not attentive.,0,ARYA KITCHEN
"I gave it 5 stars then, and I'm giving it 5 stars now.",1,ARYA KITCHEN
Your staff spends more time talking to themselves than me.,0,ARYA KITCHEN
Dessert: Panna Cotta was amazing.,1,ARYA KITCHEN
"Very good food, great atmosphere.1",1,ARYA KITCHEN
Damn good steak.,1,ARYA KITCHEN
Total brunch fail.,0,ARYA KITCHEN
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1,ARYA KITCHEN
"The decor is nice, and the piano music soundtrack is pleasant.",1,ARYA KITCHEN
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1,ARYA KITCHEN
"Good food , good service .",1,ARYA KITCHEN
It was absolutely amazing.,1,ARYA KITCHEN
"I probably won't be back, to be honest.",0,ARYA KITCHEN
will definitely be back!,1,ARYA KITCHEN
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1,ARYA KITCHEN
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",1,ARYA KITCHEN
Went for lunch - service was slow.,0,NEHAALS KITCHEN
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0,NEHAALS KITCHEN
I was mortified.,0,NEHAALS KITCHEN
"Needless to say, we will never be back here again.",0,NEHAALS KITCHEN
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0,NEHAALS KITCHEN
"The chips that came out were dripping with grease, and mostly not edible.",0,NEHAALS KITCHEN
I wasn't really impressed with Strip Steak.,0,NEHAALS KITCHEN
Have been going since 2007 and every meal has been awesome!!,1,NEHAALS KITCHEN
Our server was very nice and attentive as were the other serving staff.,1,NEHAALS KITCHEN
The cashier was friendly and even brought the food out to me.,1,NEHAALS KITCHEN
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0,NEHAALS KITCHEN
The atmosphere here is fun.,1,NEHAALS KITCHEN
Would not recommend to others.,0,NEHAALS KITCHEN
"Service is quick and even ""to go"" orders are just like we like it!",1,NEHAALS KITCHEN
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0,NEHAALS KITCHEN
"That said, our mouths and bellies were still quite pleased.",1,NEHAALS KITCHEN
Not my thing.,0,NEHAALS KITCHEN
2 Thumbs Up!!,1,NEHAALS KITCHEN
If you are reading this please don't go there.,0,NEHAALS KITCHEN
"I loved the grilled pizza, reminded me of legit Italian pizza.",1,NEHAALS KITCHEN
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1,NEHAALS KITCHEN
They have a really nice atmosphere.,1,NEHAALS KITCHEN
Tonight I had the Elk Filet special...and it sucked.,0,NEHAALS KITCHEN
"After one bite, I was hooked.",1,NEHAALS KITCHEN
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0,NEHAALS KITCHEN
"Cute, quaint, simple, honest.",1,NEHAALS KITCHEN
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1,NEHAALS KITCHEN
"The food was great as always, compliments to the chef.",1,NEHAALS KITCHEN
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,1,NEHAALS KITCHEN
Awesome selection of beer.,1,NEHAALS KITCHEN
Great food and awesome service!,1,NEHAALS KITCHEN
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1,NEHAALS KITCHEN
A FLY was in my apple juice.. A FLY!!!!!!!!,0,NEHAALS KITCHEN
The Han Nan Chicken was also very tasty.,1,NEHAALS KITCHEN
"As for the service, I thought it was good.",1,NEHAALS KITCHEN
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0,NEHAALS KITCHEN
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0,NEHAALS KITCHEN
Nicest Chinese restaurant I've been in a while.,1,NEHAALS KITCHEN
"Overall, I like there food and the service.",1,NEHAALS KITCHEN
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1,NEHAALS KITCHEN
"Probably never coming back, and wouldn't recommend it.",0,NEHAALS KITCHEN
"Friend's pasta -- also bad, he barely touched it.",0,NEHAALS KITCHEN
"Try them in the airport to experience some tasty food and speedy, friendly service.",1,NEHAALS KITCHEN
I love the decor with the Chinese calligraphy wall paper.,1,NEHAALS KITCHEN
Never had anything to complain about here.,1,NEHAALS KITCHEN
The restaurant is very clean and has a family restaurant feel to it.,1,NEHAALS KITCHEN
It was way over fried.,0,NEHAALS KITCHEN
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0,NEHAALS KITCHEN
"When I opened the sandwich, I was impressed, but not in a good way.",0,NEHAALS KITCHEN
Will not be back!,0,NEHAALS KITCHEN
There was a warm feeling with the service and I felt like their guest for a special treat.,1,NEHAALS KITCHEN
An extensive menu provides lots of options for breakfast.,1,NEHAALS KITCHEN
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1,NEHAALS KITCHEN
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,NEHAALS KITCHEN
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1,NEHAALS KITCHEN
"I got to enjoy the seafood salad, with a fabulous vinegrette.",1,NEHAALS KITCHEN
"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,NEHAALS KITCHEN
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1,NEHAALS KITCHEN
We were sat right on time and our server from the get go was FANTASTIC!,1,NEHAALS KITCHEN
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0,NEHAALS KITCHEN
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1,NEHAALS KITCHEN
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0,NEHAALS KITCHEN
This is a GREAT place to eat!,1,NEHAALS KITCHEN
The jalapeno bacon is soooo good.,1,NEHAALS KITCHEN
The service was poor and thats being nice.,0,NEHAALS KITCHEN
"Food was good, service was good, Prices were good.",1,NEHAALS KITCHEN
The place was not clean and the food oh so stale!,0,NEHAALS KITCHEN
"The chicken dishes are OK, the beef is like shoe leather.",0,NEHAALS KITCHEN
But the service was beyond bad.,0,NEHAALS KITCHEN
"I'm so happy to be here!!!""",1,NEHAALS KITCHEN
Tasted like dirt.,0,NEHAALS KITCHEN
One of the few places in Phoenix that I would definately go back to again .,1,NEHAALS KITCHEN
The block was amazing.,1,NEHAALS KITCHEN
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1,NEHAALS KITCHEN
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1,NEHAALS KITCHEN
My sashimi was poor quality being soggy and tasteless.,0,NEHAALS KITCHEN
Great time - family dinner on a Sunday night.,1,NEHAALS KITCHEN
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0,NEHAALS KITCHEN
"What did bother me, was the slow service.",0,NEHAALS KITCHEN
The flair bartenders are absolutely amazing!,1,NEHAALS KITCHEN
Their frozen margaritas are WAY too sugary for my taste.,0,NEHAALS KITCHEN
These were so good we ordered them twice.,1,NEHAALS KITCHEN
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0,NEHAALS KITCHEN
My girlfriend's veal was very bad.,0,ARC KITCHEN
"Unfortunately, it was not good.",0,ARC KITCHEN
I had a pretty satifying experience.,1,ARC KITCHEN
Join the club and get awesome offers via email.,1,ARC KITCHEN
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1,ARC KITCHEN
Bland and flavorless is a good way of describing the barely tepid meat.,0,ARC KITCHEN
"The chains, which I'm no fan of, beat this place easily.",0,ARC KITCHEN
The nachos are a MUST HAVE!,1,ARC KITCHEN
We will not be coming back.,0,ARC KITCHEN
"I don't have very many words to say about this place, but it does everything pretty well.",1,ARC KITCHEN
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,ARC KITCHEN
"Great atmosphere, friendly and fast service.",1,ARC KITCHEN
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1,ARC KITCHEN
Once your food arrives it's meh.,0,ARC KITCHEN
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0,ARC KITCHEN
The classic Maine Lobster Roll was fantastic.,1,ARC KITCHEN
"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",0,ARC KITCHEN
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1,ARC KITCHEN
"The chips and salsa were really good, the salsa was very fresh.",1,ARC KITCHEN
This place is great!!!!!!!!!!!!!!,1,ARC KITCHEN
Mediocre food.,0,ARC KITCHEN
Once you get inside you'll be impressed with the place.,1,ARC KITCHEN
I'm super pissd.,0,ARC KITCHEN
And service was super friendly.,1,ARC KITCHEN
Why are these sad little vegetables so overcooked?,0,ARC KITCHEN
This place was such a nice surprise!,1,ARC KITCHEN
They were golden-crispy and delicious.,1,ARC KITCHEN
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0,ARC KITCHEN
I could eat their bruschetta all day it is devine.,1,ARC KITCHEN
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0,ARC KITCHEN
"Lastly, the mozzarella sticks, they were the best thing we ordered.",1,ARC KITCHEN
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1,ARC KITCHEN
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,ARC KITCHEN
The service was terrible though.,0,ARC KITCHEN
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0,ARC KITCHEN
It was packed!!,0,ARC KITCHEN
I love this place.,1,ARC KITCHEN
I can say that the desserts were yummy.,1,ARC KITCHEN
The food was terrible.,0,ARC KITCHEN
The seasonal fruit was fresh white peach puree.,1,ARC KITCHEN
It kept getting worse and worse so now I'm officially done.,0,ARC KITCHEN
This place should honestly be blown up.,0,ARC KITCHEN
But I definitely would not eat here again.,0,ARC KITCHEN
Do not waste your money here!,0,ARC KITCHEN
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1,ARC KITCHEN
The crêpe was delicate and thin and moist.,1,ARC KITCHEN
Awful service.,0,ARC KITCHEN
Won't ever go here again.,0,ARC KITCHEN
Food quality has been horrible.,0,ARC KITCHEN
For that price I can think of a few place I would have much rather gone.,0,ARC KITCHEN
The service here is fair at best.,0,ARC KITCHEN
"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0,ARC KITCHEN
Do yourself a favor and stay away from this dish.,0,LOVERS KITCHEN
Very poor service.,0,LOVERS KITCHEN
No one at the table thought the food was above average or worth the wait that we had for it.,0,LOVERS KITCHEN
"Best service and food ever, Maria our server was so good and friendly she made our day.",1,LOVERS KITCHEN
They were excellent.,1,LOVERS KITCHEN
I paid the bill but did not tip because I felt the server did a terrible job.,0,LOVERS KITCHEN
Just had lunch here and had a great experience.,1,LOVERS KITCHEN
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0,LOVERS KITCHEN
Food is way overpriced and portions are fucking small.,0,LOVERS KITCHEN
I recently tried Caballero's and I have been back every week since!,1,LOVERS KITCHEN
"for 40 bucks a head, i really expect better food.",0,LOVERS KITCHEN
The food came out at a good pace.,1,LOVERS KITCHEN
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1,LOVERS KITCHEN
I won't be back.,0,LOVERS KITCHEN
We could not believe how dirty the oysters were!,0,LOVERS KITCHEN
This place deserves no stars.,0,LOVERS KITCHEN
I would not recommend this place.,0,LOVERS KITCHEN
"In fact I'm going to round up to 4 stars, just because she was so awesome.",1,LOVERS KITCHEN
"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",0,LOVERS KITCHEN
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0,LOVERS KITCHEN
the potatoes were great and so was the biscuit.,1,LOVERS KITCHEN
I probably would not go here again.,0,LOVERS KITCHEN
So flavorful and has just the perfect amount of heat.,1,LOVERS KITCHEN
The price is reasonable and the service is great.,1,LOVERS KITCHEN
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0,LOVERS KITCHEN
My fella got the huevos rancheros and they didn't look too appealing.,0,LOVERS KITCHEN
"Went in for happy hour, great list of wines.",1,LOVERS KITCHEN
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1,LOVERS KITCHEN
I probably won't be coming back here.,0,LOVERS KITCHEN
Worst food/service I've had in a while.,0,LOVERS KITCHEN
"This place is pretty good, nice little vibe in the restaurant.",1,LOVERS KITCHEN
Talk about great customer service of course we will be back.,1,LOVERS KITCHEN
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0,LOVERS KITCHEN
I love their fries and their beans.,1,LOVERS KITCHEN
Always a pleasure dealing with him.,1,LOVERS KITCHEN
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",1,LOVERS KITCHEN
This place is awesome if you want something light and healthy during the summer.,1,LOVERS KITCHEN
"For sushi on the Strip, this is the place to go.",1,LOVERS KITCHEN
"The service was great, even the manager came and helped with our table.",1,LOVERS KITCHEN
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0,LOVERS KITCHEN
"I started this review with two stars, but I'm editing it to give it only one.",0,LOVERS KITCHEN
this is the worst sushi i have ever eat besides Costco's.,0,LOVERS KITCHEN
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",1,LOVERS KITCHEN
My boyfriend and i sat at the bar and had a completely delightful experience.,1,LOVERS KITCHEN
Weird vibe from owners.,0,LOVERS KITCHEN
There was hardly any meat.,0,LOVERS KITCHEN
I've had better bagels from the grocery store.,0,LOVERS KITCHEN
Go To Place for Gyros.,1,LOVERS KITCHEN
"I love the owner/chef, his one authentic Japanese cool dude!",1,LOVERS KITCHEN
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",0,LOVERS KITCHEN
I found a six inch long piece of wire in my salsa.,0,LOVERS KITCHEN
"The service was terrible, food was mediocre.",0,LOVERS KITCHEN
We definately enjoyed ourselves.,1,LOVERS KITCHEN
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0,LOVERS KITCHEN
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0,LOVERS KITCHEN
I had about two bites and refused to eat anymore.,0,LOVERS KITCHEN
The service was extremely slow.,0,LOVERS KITCHEN
"After 20 minutes wait, I got a table.",0,LOVERS KITCHEN
Seriously killer hot chai latte.,1,LOVERS KITCHEN
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0,LOVERS KITCHEN
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1,LOVERS KITCHEN
Their rotating beers on tap is also a highlight of this place.,1,LOVERS KITCHEN
Pricing is a bit of a concern at Mellow Mushroom.,0,LOVERS KITCHEN
Worst Thai ever.,0,LOVERS KITCHEN
If you stay in Vegas you must get breakfast here at least once.,1,LOVERS KITCHEN
I want to first say our server was great and we had perfect service.,1,LOVERS KITCHEN
The pizza selections are good.,1,LOVERS KITCHEN
"I had strawberry tea, which was good.",1,LOVERS KITCHEN
Highly unprofessional and rude to a loyal patron!,0,LOVERS KITCHEN
"Overall, a great experience.",1,LOVERS KITCHEN
Spend your money elsewhere.,0,LOVERS KITCHEN
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,1,LOVERS KITCHEN
The Buffet at Bellagio was far from what I anticipated.,0,LOVERS KITCHEN
"And the drinks are WEAK, people!",0,LOVERS KITCHEN
#NAME?,0,LOVERS KITCHEN
"Also, I feel like the chips are bought, not made in house.",0,LOVERS KITCHEN
After the disappointing dinner we went elsewhere for dessert.,0,LOVERS KITCHEN
The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,1,LOVERS KITCHEN
We won't be returning.,0,LOVERS KITCHEN
This is my new fav Vegas buffet spot.,1,LOVERS KITCHEN
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0,LOVERS KITCHEN
"Very, very sad.",0,LOVERS KITCHEN
"i felt insulted and disrespected, how could you talk and judge another human being like that?",0,LOVERS KITCHEN
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0,LOVERS KITCHEN
I'm not impressed with the concept or the food.,0,LOVERS KITCHEN
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,0,LOVERS KITCHEN
"There is really nothing for me at postinos, hope your experience is better",0,LOVERS KITCHEN
I got food poisoning here at the buffet.,0,LOVERS KITCHEN
They brought a fresh batch of fries and I was thinking yay something warm but no!,0,LOVERS KITCHEN
"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",0,LOVERS KITCHEN
"Needless to say, I won't be going back anytime soon.",0,LOVERS KITCHEN
This place is disgusting!,0,LOVERS KITCHEN
"Every time I eat here, I see caring teamwork to a professional degree.",1,LOVERS KITCHEN
The RI style calamari was a joke.,0,LOVERS KITCHEN
"However, there was so much garlic in the fondue, it was barely edible.",0,LOVERS KITCHEN
"I could barely stomach the meal, but didn't complain because it was a business lunch.",0,LOVERS KITCHEN
"It was so bad, I had lost the heart to finish it.",0,LOVERS KITCHEN
It also took her forever to bring us the check when we asked for it.,0,LOVERS KITCHEN
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,0,LOVERS KITCHEN
Disappointing experience.,0,LOVERS KITCHEN
"The food is about on par with Denny's, which is to say, not good at all.",0,LOVERS KITCHEN
"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",0,LOVERS KITCHEN
WAAAAAAyyyyyyyyyy over rated is all I am saying.,0,LOVERS KITCHEN
We won't be going back.,0,LOVERS KITCHEN
The place was fairly clean but the food simply wasn't worth it.,0,LOVERS KITCHEN
This place lacked style!!,0,LOVERS KITCHEN
"The sangria was about half of a glass wine full and was $12, ridiculous.",0,LOVERS KITCHEN
Don't bother coming here.,0,LOVERS KITCHEN
"The meat was pretty dry, I had the sliced brisket and pulled pork.",0,LOVERS KITCHEN
"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.",0,LOVERS KITCHEN
It was equally awful.,0,LOVERS KITCHEN
Probably not in a hurry to go back.,0,LOVERS KITCHEN
very slow at seating even with reservation.,0,LOVERS KITCHEN
Not good by any stretch of the imagination.,0,LOVERS KITCHEN
The cashew cream sauce was bland and the vegetables were undercooked.,0,LOVERS KITCHEN
"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0,LOVERS KITCHEN
"It was a bit too sweet, not really spicy enough, and lacked flavor.",0,LOVERS KITCHEN
I was VERY disappointed!!,0,LOVERS KITCHEN
This place is horrible and way overpriced.,0,LOVERS KITCHEN
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0,LOVERS KITCHEN
It wasn't busy at all and now we know why.,0,LOVERS KITCHEN
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0,LOVERS KITCHEN
"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",0,LOVERS KITCHEN
Con: spotty service.,0,LOVERS KITCHEN
"The fries were not hot, and neither was my burger.",0,LOVERS KITCHEN
But then they came back cold.,0,LOVERS KITCHEN
"Then our food came out, disappointment ensued.",0,LOVERS KITCHEN
The real disappointment was our waiter.,0,LOVERS KITCHEN
My husband said she was very rude... did not even apologize for the bad food or anything.,0,LOVERS KITCHEN
The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,0,SHIVA KITCHEN
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0,SHIVA KITCHEN
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0,SHIVA KITCHEN
She was quite disappointed although some blame needs to be placed at her door.,0,SHIVA KITCHEN
After all the rave reviews I couldn't wait to eat here......what a disappointment!,0,SHIVA KITCHEN
Del Taco is pretty nasty and should be avoided if possible.,0,SHIVA KITCHEN
It's NOT hard to make a decent hamburger.,0,SHIVA KITCHEN
But I don't like it.,0,SHIVA KITCHEN
Hell no will I go back,0,SHIVA KITCHEN
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0,SHIVA KITCHEN
"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0,SHIVA KITCHEN
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0,SHIVA KITCHEN
The ambiance isn't much better.,0,SHIVA KITCHEN
"Unfortunately, it only set us up for disapppointment with our entrees.",0,SHIVA KITCHEN
The food wasn't good.,0,SHIVA KITCHEN
"Your servers suck, wait, correction, our server Heimer sucked.",0,SHIVA KITCHEN
What happened next was pretty....off putting.,0,SHIVA KITCHEN
"too bad cause I know it's family owned, I really wanted to like this place.",0,SHIVA KITCHEN
Overpriced for what you are getting.,0,SHIVA KITCHEN
I vomited in the bathroom mid lunch.,0,SHIVA KITCHEN
"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0,SHIVA KITCHEN
"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",0,SHIVA KITCHEN
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0,SHIVA KITCHEN
Food was below average.,0,SHIVA KITCHEN
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,0,SHIVA KITCHEN
"All in all, Ha Long Bay was a bit of a flop.",0,SHIVA KITCHEN
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0,SHIVA KITCHEN
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0,SHIVA KITCHEN
"It lacked flavor, seemed undercooked, and dry.",0,SHIVA KITCHEN
It really is impressive that the place hasn't closed down.,0,SHIVA KITCHEN
I would avoid this place if you are staying in the Mirage.,0,SHIVA KITCHEN
The refried beans that came with my meal were dried out and crusty and the food was bland.,0,SHIVA KITCHEN
Spend your money and time some place else.,0,SHIVA KITCHEN
A lady at the table next to us found a live green caterpillar In her salad.,0,SHIVA KITCHEN
the presentation of the food was awful.,0,SHIVA KITCHEN
I can't tell you how disappointed I was.,0,SHIVA KITCHEN
I think food should have flavor and texture and both were lacking.,0,SHIVA KITCHEN
Appetite instantly gone.,0,SHIVA KITCHEN
Overall I was not impressed and would not go back.,0,SHIVA KITCHEN
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0,SHIVA KITCHEN
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0,SHIVA KITCHEN
